file,class,reasoner,iterations,time,n_subsumers,subsumers
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Q,3,,,5,"['AminoAcid', 'AliphaticAminoAcid', 'Q', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Q,1,22,3.7756,5,"['SpecificAminoAcid', 'Q', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Q,2,20,3.4881,5,"['SpecificAminoAcid', 'Q', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Positive,3,,,3,"['Positive', 'Charge', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Positive,1,2,0.4766,1,['Positive']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Positive,2,2,0.3952,1,['Positive']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Neutral,3,,,3,"['Neutral', 'Charge', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Neutral,1,2,0.5239,1,['Neutral']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Neutral,2,2,0.4797,1,['Neutral']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Large,3,,,3,"['Large', 'RefiningFeature', 'Size']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Large,1,2,0.5587,1,['Large']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Large,2,2,0.536,1,['Large']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,AliphaticAminoAcid,3,,,3,"['AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,AliphaticAminoAcid,1,6,1.1641,3,"['AliphaticAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,AliphaticAminoAcid,2,6,1.0529,3,"['AliphaticAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Non-Polar,3,,,3,"['Polarity', 'RefiningFeature', 'Non-Polar']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Non-Polar,1,2,0.5313,1,['Non-Polar']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Non-Polar,2,2,0.4706,1,['Non-Polar']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,M,3,,,5,"['M', 'AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,M,1,22,4.3627,5,"['M', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,M,2,20,4.4983,5,"['M', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,LargeAliphaticAminoAcid,3,,,4,"['AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,LargeAliphaticAminoAcid,1,9,1.8041,4,"['LargeAliphaticAminoAcid', 'AliphaticAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,LargeAliphaticAminoAcid,2,10,1.5778,4,"['LargeAliphaticAminoAcid', 'AliphaticAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,RefiningFeature,3,,,1,['RefiningFeature']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,RefiningFeature,1,1,0.2912,1,['RefiningFeature']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,RefiningFeature,2,1,0.2124,1,['RefiningFeature']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,W,3,,,4,"['AromaticAminoAcid', 'W', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,W,1,19,2.9511,4,"['AminoAcid', 'SpecificAminoAcid', 'AromaticAminoAcid', 'W']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,W,2,19,4.0005,4,"['AminoAcid', 'SpecificAminoAcid', 'AromaticAminoAcid', 'W']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Aliphatic,3,,,3,"['Aliphatic', 'SideChainStructure', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Aliphatic,1,2,0.3608,1,['Aliphatic']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Aliphatic,2,2,0.3764,1,['Aliphatic']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Y,3,,,4,"['AromaticAminoAcid', 'Y', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Y,1,19,3.2385,4,"['Y', 'AminoAcid', 'AromaticAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Y,2,19,3.0639,4,"['Y', 'AminoAcid', 'AromaticAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Tiny,3,,,3,"['RefiningFeature', 'Size', 'Tiny']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Tiny,1,2,0.386,1,['Tiny']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Tiny,2,2,0.3805,1,['Tiny']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Polar,3,,,3,"['Polarity', 'Polar', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Polar,1,2,0.3677,1,['Polar']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Polar,2,2,0.3724,1,['Polar']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,SideChainStructure,3,,,2,"['SideChainStructure', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,SideChainStructure,1,2,0.4095,2,"['RefiningFeature', 'SideChainStructure']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,SideChainStructure,2,2,0.5787,2,"['RefiningFeature', 'SideChainStructure']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,C,3,,,4,"['AminoAcid', 'AliphaticAminoAcid', 'C', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,C,1,14,2.3003,1,['C']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,C,2,17,2.6357,1,['C']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,E,3,,,5,"['E', 'NegativeChargedAminoAcid', 'AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,E,1,12,1.8375,1,['E']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,E,2,14,2.1424,1,['E']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobic,3,,,3,"['Hydrophobicity', 'Hydrophobic', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobic,1,2,0.4764,1,['Hydrophobic']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobic,2,2,0.5185,1,['Hydrophobic']
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,NegativeChargedAminoAcid,3,,,4,"['NegativeChargedAminoAcid', 'AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,NegativeChargedAminoAcid,1,10,1.6621,4,"['AliphaticAminoAcid', 'NegativeChargedAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,NegativeChargedAminoAcid,2,10,1.8127,4,"['AliphaticAminoAcid', 'NegativeChargedAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,R,3,,,6,"['PositiveChargedAminoAcid', 'AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid', 'R']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,R,1,21,3.7174,6,"['R', 'SpecificAminoAcid', 'PositiveChargedAminoAcid', 'AminoAcid', 'LargeAliphaticAminoAcid', 'AliphaticAminoAcid']"
